Año,Trimestre,Provincia,Banda ancha fija,Dial up,indice
2021,2,Santa Fe,840,151.0,164
2021,2,Santiago Del Estero,114,1.0,165
2021,2,Tierra Del Fuego,35,289.0,166
2021,2,Tucumán,233,25.0,167
2021,1,Buenos Aires,4,5.0,168
2021,1,Capital Federal,1,1.0,169
2021,1,Catamarca,52,1.0,170
2021,1,Chaco,140,3.0,171
2021,1,Chubut,132,825.0,172
2021,1,Córdoba,911,55.0,173
2021,1,Corrientes,127,3.0,174
2021,1,Entre Ríos,252,13.0,175
2021,1,Formosa,51,0.0,176
2021,1,Jujuy,110,0.0,177
2021,1,La Pampa,97,116.0,178
2021,1,La Rioja,53,3.0,179
2021,1,Mendoza,218,615.0,180
2021,1,Misiones,149,0.0,181
2021,1,Neuquén,133,373.0,182
2021,1,Río Negro,141,501.0,183
2021,1,Salta,188,2.0,184
2021,1,San Juan,78,256.0,185
2021,1,San Luis,119,148.0,186
2021,1,Santa Cruz,46,197.0,187
2021,1,Santa Fe,826,137.0,188
2021,1,Santiago Del Estero,112,1.0,189
2021,1,Tierra Del Fuego,40,289.0,190
2021,1,Tucumán,232,22.0,191
2020,4,Buenos Aires,4,5.0,192
2020,4,Capital Federal,1,1.0,193
2020,4,Catamarca,52,1.0,194
2020,4,Chaco,139,3.0,195
2020,4,Chubut,130,825.0,196
2020,4,Córdoba,903,55.0,197
2020,4,Corrientes,126,3.0,198
2020,4,Entre Ríos,247,13.0,199
2020,4,Formosa,50,0.0,200
2020,4,Jujuy,106,0.0,201
2020,4,La Pampa,97,116.0,202
2020,4,La Rioja,53,3.0,203
2020,4,Mendoza,215,615.0,204
2020,4,Misiones,147,0.0,205
2020,4,Neuquén,133,373.0,206
2020,4,Río Negro,141,501.0,207
2020,4,Salta,187,2.0,208
2020,4,San Juan,72,256.0,209
2020,4,San Luis,119,148.0,210
2020,4,Santa Cruz,40,197.0,211
2020,4,Santa Fe,821,137.0,212
2020,4,Santiago Del Estero,107,1.0,213
2020,4,Tierra Del Fuego,39,289.0,214
2020,4,Tucumán,231,22.0,215
2020,3,Buenos Aires,4,5.0,216
2020,3,Capital Federal,1,1.0,217
2020,3,Catamarca,50,1.0,218
2020,3,Chaco,134,3.0,219
2020,3,Chubut,129,825.0,220
2020,3,Córdoba,867,55.0,221
